rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags
1605259880327782149,466298300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259882326234198,466300300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259884326074994,466302300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259886325917872,466304300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259888327035831,466306300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259890326387382,466308300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259892328091908,466310300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259894325919006,466312300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259896326645481,466314300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259898328048248,466316300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259900327447677,466318300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259902328597804,466320300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259904326841099,466322300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259906326499537,466324300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259908325762228,466326300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259910327100867,466328300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259912326082820,466330300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259914325783111,466332300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259916325636042,466334300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259918325870765,466336300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259920326081838,466338300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259922329947300,466340300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259924326837004,466342300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259926327369928,466344300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259928326559161,466346300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259930327765172,466348300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259932326637724,466350300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259934325435392,466352300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259936325520329,466354300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259938325754862,466356300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259940326625907,466358300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259942325768649,466360300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259944325554174,466362300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259946326744727,466364300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259948325524923,466366300,1,1,"[0, 0]",,0,31,26,-91,0,0,6422
1605259950327001580,466368300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259952325494723,466370300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259954326399204,466372300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259956327117822,466374300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259958326789642,466376300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259960327277397,466378300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259962326928500,466380300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259964325078466,466382300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259966326261853,466384300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259968325709508,466386300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259970326459565,466388300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259972328725305,466390300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259974325671351,466392300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259976326161606,466394300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259978327906293,466396300,1,1,"[0, 0]",,0,31,26,-91,0,0,6423
1605259980325991617,466398300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259982325985042,466400300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259984326715647,466402300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259986325573941,466404300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259988326979188,466406300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259990326800029,466408300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259992326829886,466410300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605259994325909358,466412300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259996325429174,466414300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605259998326311710,466416300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
